（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B091Y38CV7,B091XWL384,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - White & Gray",UTBSC-09,28,0,4,0,32,0,0.27%,0.00%,0.10%,0.00%,0.23%,0.00%,37,0,5,0,42,0,0.28%,0.00%,0.10%,0.23%,0.00%,97.62%,0.00%,4,0,12.50%,0.00%,US$115.96,US$0.00,4,0
B01JL0GK9E,B01H1O8ANG,"UOZZI BEDDING 4 Corners Post Pink Canopy Bed Curtain for Girls & Adults - Cute Cozy Drape Square Netting for Twin Bed - 4 Opening 58"" W x 80"" L Mosquito Net - Princess Bedroom Decoration",FXA04-Q,45,0,29,1,74,1,0.44%,0.00%,0.73%,1.59%,0.52%,0.53%,78,0,41,1,119,1,0.59%,0.00%,0.80%,0.65%,0.41%,100.00%,100.00%,3,0,4.05%,0.00%,US$74.97,US$0.00,3,0
B0BQV6HMN2,B07L2V3Y25,3 Pieces Duvet Cover Set Blue Gray with White Triangles - Ultra Soft and Easy Care Design Summer Bedding Duvet Cover Twin Size 68x86+ 2 Pillow Shams- 800 TC with Zipper Closure 4 Corner Ties,WTSIXU-XX,27,1,12,1,39,2,0.26%,0.79%,0.30%,1.59%,0.27%,1.06%,28,1,14,2,42,3,0.21%,0.61%,0.27%,0.23%,1.23%,100.00%,100.00%,4,0,10.26%,0.00%,US$99.96,US$0.00,3,0
B08D3DNTBX,B07TYNNN74,UOZZI BEDDING Colorful Dots Comforter Set Twin Size Pink Yellow Gray Blue Circles Print Reversible Down Alternative 800 TC Kids Girls Teen Duvet Sets 1 Microfiber Comforter with 2 Pillow Shams,UZBZ38-T,70,0,35,1,105,1,0.69%,0.00%,0.88%,1.59%,0.74%,0.53%,95,0,45,1,140,1,0.72%,0.00%,0.88%,0.77%,0.41%,100.00%,100.00%,3,0,2.86%,0.00%,US$116.97,US$0.00,3,0
B08K767M5V,B08CVT27TW,"6 Pieces Comforter Sheet Set Twin Size Bed in a Bag - Colorful Dots Style - Soft Microfiber, Spring Reversible Bedding Set (1 Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 1 Pillowcases)",UZBIG38-T,102,1,45,1,147,2,1.00%,0.79%,1.13%,1.59%,1.04%,1.06%,141,1,59,2,200,3,1.07%,0.61%,1.15%,1.09%,1.23%,99.50%,100.00%,3,0,2.04%,0.00%,US$149.97,US$0.00,3,0
B08XXHWMH7,B08XXFK66P,UOZZI BEDDING 3 Piece Reversible Quilt Set Gray White Branch with Yellow Dots Queen Full Size 88x88 Soft Microfiber Lightweight Summer Coverlet Bedspread for All Season (1 Quilt+ 2 Shams),UQT118-Q,52,0,35,0,87,0,0.51%,0.00%,0.88%,0.00%,0.61%,0.00%,78,0,49,0,127,0,0.59%,0.00%,0.96%,0.69%,0.00%,100.00%,0.00%,3,0,3.45%,0.00%,US$119.97,US$0.00,3,0
B08K767M5V,B091BSGJRD,Pink Floral Comforter Sheet Set Bed in a Bag 7 Pieces King Green Flower Microfiber Reversible Bedding Set (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 Fitted Sheet 2 Pillowcases),UZBIG129-K,224,3,79,3,303,6,2.20%,2.38%,1.98%,4.76%,2.13%,3.17%,269,4,95,3,364,7,2.04%,2.44%,1.86%,1.99%,2.88%,99.18%,100.00%,3,0,0.99%,0.00%,US$179.97,US$0.00,3,0
B08LY9MZ1Y,B091BSJFDV,"UOZZI BEDDING Kids Girls Bed in a Bag 7 Pieces Queen Size Unicorn Pink Comforter Set - (1 Soft Microfiber, Reversible Comforter, 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 2 Pillowcases)",UZBIG122-Q,24,0,12,0,36,0,0.24%,0.00%,0.30%,0.00%,0.25%,0.00%,42,0,16,0,58,0,0.32%,0.00%,0.31%,0.32%,0.00%,98.28%,0.00%,3,0,8.33%,0.00%,US$179.97,US$0.00,3,0
B091Y38CV7,B091Y46G8R,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Ultra Soft and Breathable Toddler Sheet Set - Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase - Dark Gray & Gray",UTBSC-08,54,1,10,1,64,2,0.53%,0.79%,0.25%,1.59%,0.45%,1.06%,67,1,12,1,79,2,0.51%,0.61%,0.23%,0.43%,0.82%,100.00%,100.00%,3,0,4.69%,0.00%,US$87.97,US$0.00,3,0
B092LX5PDW,B09KXHQ7R3,UOZZI BEDDING Cream White Bed in a Bag Twin 6 pc Branch Style All Season Soft Microfiber Reversible Bed Comforter Set (1 Comforter 2 Pillow Shams 1 Flat Sheet 1 Fitted Sheet 1 Pillowcases),UZBIG165-T,36,1,18,1,54,2,0.35%,0.79%,0.45%,1.59%,0.38%,1.06%,43,1,23,1,66,2,0.33%,0.61%,0.45%,0.36%,0.82%,100.00%,100.00%,4,0,7.41%,0.00%,US$223.96,US$0.00,3,0
